"year";"week";"KW";"City.of.Bern";"Canton";"Cases.rollsum";"Number_weeks";"weeks.range";"Cases.range"
1918;"1918_w25";25;0;3;3;4;"22_25_1918";0
1918;"1918_w26";26;0;0;3;4;"23_26_1918";0
1918;"1918_w27";27;7;16;19;4;"24_27_1918";0
1918;"1918_w28";28;60;298;317;4;"25_28_1918";0
1918;"1918_w29";29;240;1439;1753;4;"26_29_1918";0.02
1918;"1918_w30";30;2713;7845;9598;4;"27_30_1918";0.12
1918;"1918_w31";31;1801;7046;16628;4;"28_31_1918";0.2
1918;"1918_w32";32;641;3581;19911;4;"29_32_1918";0.24
1918;"1918_w33";33;236;1509;19981;4;"30_33_1918";0.24
1918;"1918_w34";34;115;903;13039;4;"31_34_1918";0.16
1918;"1918_w35";35;100;773;6766;4;"32_35_1918";0.08
1918;"1918_w36";36;31;406;3591;4;"33_36_1918";0.04
1918;"1918_w37";37;89;380;2462;4;"34_37_1918";0.03
1918;"1918_w38";38;0;222;1781;4;"35_38_1918";0.02
1918;"1918_w39";39;222;775;1783;4;"36_39_1918";0.02
1918;"1918_w40";40;304;1624;3001;4;"37_40_1918";0.04
1918;"1918_w41";41;622;2893;5514;4;"38_41_1918";0.07
1918;"1918_w42";42;751;3192;8484;4;"39_42_1918";0.1
1918;"1918_w43";43;1600;6437;14146;4;"40_43_1918";0.17
1918;"1918_w44";44;2118;9081;21603;4;"41_44_1918";0.26
1918;"1918_w45";45;1316;8596;27306;4;"42_45_1918";0.33
1918;"1918_w46";46;1634;7294;31408;4;"43_46_1918";0.38
1918;"1918_w47";47;633;5395;30366;4;"44_47_1918";0.37
1918;"1918_w48";48;1770;8133;29418;4;"45_48_1918";0.36
1918;"1918_w49";49;1564;7631;28453;4;"46_49_1918";0.35
1918;"1918_w50";50;677;8438;29597;4;"47_50_1918";0.36
1918;"1918_w51";51;420;3886;28088;4;"48_51_1918";0.34
1918;"1918_w52";52;181;4102;24057;4;"49_52_1918";0.29
